name, surface, type
Circuit de Barcelona-Catalunya, road, circuit
Circuit de Spa-Francorchamps, road, circuit
Circuit des 24 Heures du Mans, road, circuit
Daytona International Speedway, road, circuit
Eaglerock Speedway, road, circuit
Grand Oak Raceway, road, circuit
Hakone Circuit, road, circuit
Hockenheimring, road, circuit
Homestead-Miami Speedway, road, circuit
Indianapolis Motor Speedway, road, circuit
Kyalami Grand Prix Circuit, road, circuit
Lime Rock Park, road, circuit
Maple Valley, road, circuit
Mid-Ohio Sports Car Course, road, circuit
Mugello Circuit, road, circuit
Nürburgring, road, circuit
Road America, road, circuit
Silverstone Circuit, road, circuit
Suzuka Circuit, road, circuit
Virginia International Raceway, road, circuit
Watkins Glen International, road, circuit
WeatherTech Raceway Laguna Seca, road, circuit
Yas Marina Circuit, road, circuit
